"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"2022-07-01",4469058.5,6568002.75,120.259845638286,122.342458263614,124.685858508077,3.53333333333333,20281000,21520500,2.625,2.19,2.66333333333333,3.10666666666667,11891.06984375,12383.48234375,117.565118002661,136.800832602837,106573557,56442045000,48017405
"2022-10-01",4527067.5,6683569.25,121.451882241838,123.472976449842,125.947733859912,3.56666666666667,19671300,21219300,3.79166666666667,3.65333333333333,4.04,3.83,10871.376031746,11345.2073015873,118.090169570226,136.715974166382,108616911,55536750000,47031863
"2023-01-01",4626552.75,6791089.75,122.630626924689,124.597055530391,127.084153035438,3.53333333333333,18925500,20876300,4.625,4.51666666666667,4.62666666666667,3.64666666666667,11481.4411290323,12111.0441935484,113.839752118512,136.783548233487,111971312,55575291000,46956259
"2023-04-01",4671431,6863453.75,123.51496240593,125.16500885029,128.02619952525,3.53333333333333,18434700,20782600,5.04166666666667,4.99,5.07333333333333,3.59333333333333,12676.7551612903,13817.5738709677,114.28622453991,136.614873634106,115118574,58001966000,49282449
"2023-07-01",4732246.75,6991924.25,124.337926589911,126.156063316781,129.130832718886,3.66666666666667,18124600,20720000,5.375,5.26,5.29,4.15,13785.2779365079,15222.4546031746,115.39704792435,138.14788428245,113430830,58463678000,49724685
"2023-10-01",4792538.5,7074241.75,124.847499089738,126.642532002668,130.02365313055,3.8,17915200,20701400,5.375,5.33,5.28333333333333,4.44,13910.6926984127,15581.6088888889,116.279277429033,139.669864202616,118064325,57860377000,49084931
"2024-01-01",4856193.75,7156017.25,125.903405832392,127.589983733774,131.2118300111,3.83333333333333,17980800,20901500,5.375,5.33,5.23333333333333,4.16,15692.0286885246,17615.9252459016,115.679218494674,139.505098128967,122185224,59843336000,50961129
"2024-04-01",4920674.75,7254178.5,126.693097917647,128.391387883005,132.106900757765,4,18039000,21065500,5.375,5.33,5.24333333333333,4.44333333333333,16621.2685714286,18472.5406349206,117.961585512863,,123380201,61679419000,52735027
"2024-07-01",4984606.25,7343728.5,127.178109097994,128.996586818878,132.565547160165,4.16666666666667,18156800,21272200,5.375,5.26333333333333,4.99,3.94666666666667,17610.60796875,19441.1153125,118.361624802436,,128494690,61555310000,52539071
"2024-10-01",5063863.75,7430966,127.92874704997,129.741346637272,133.559632646876,4.13333333333333,18376000,21490100,,4.65,4.4,4.28333333333333,18983.19515625,20779.04796875,,,128869892,61281188000,52138374
"2025-01-01",,,,,134.805755653703,4.1,,,,4.33,4.21,4.45333333333333,18951.4626666667,20879.879,,,,,
